speaker,start,end,text
SPEAKER_01,0.13221875,7.08471875,25년 9월 21일 페우소나의 야이 실시간 회의 비서 프로젝트 기회에 관한 회의를 실시하도록 하겠습니다.
SPEAKER_01,8.04659375,11.438468750000002,먼저 화자분리부터 단계별로 진행할 예정입니다.
SPEAKER_01,12.400343750000001,16.16346875,가장 많이 쓰이는 패스트워퍼 모델을 사용할 예정입니다.
SPEAKER_00,17.22659375,17.53034375,네
SPEAKER_00,17.83409375,19.89284375,테스트를 위한 음성 생성을 통해
SPEAKER_00,20.297843750000002,23.52096875,화자 분리를 진행하도록 하겠습니다. 테스트임으로 인화자.
SPEAKER_00,23.95971875,24.617843750000002,사민화자
SPEAKER_00,25.05659375,26.254718750000002,5인 이상 이렇게 진행
SPEAKER_00,26.81159375,28.43159375,비용절감 방안도 모델별
SPEAKER_00,28.887218750000002,30.16971875,기능별 비용계산도
SPEAKER_00,30.372218750000002,31.01346875,생각은
SPEAKER_02,31.16534375,32.768468750000004,모델을 다양하게 드라마
SPEAKER_02,33.30846875,33.83159375,에이 that
SPEAKER_02,34.40534375,35.181593750000005,gpt
SPEAKER_02,35.73846875,40.362218750000004,올라마 등 사용해서 비교하며 차이가 있는지 보게 좋겠습니다.
SPEAKER_02,41.25659375,48.63096875,db 기반으로 과거 발언 근거로 개인의 페르소나를 넣은 정확한 답변을 제공하는 것이 목표입니다.
